iter	Logloss
0	0.6247965562
1	0.5556170774
2	0.5118810466
3	0.4722350283
4	0.4288214797
5	0.3995942069
6	0.3592301783
7	0.3353688021
8	0.3178711486
9	0.3023779448
10	0.2863095146
11	0.2738873909
12	0.2603945291
13	0.2451331227
14	0.2377098986
15	0.2302952129
16	0.2193786381
17	0.2128999648
18	0.2085202272
19	0.2044849948
20	0.2003118508
21	0.1975703405
22	0.1947094475
23	0.192504293
24	0.1904466909
25	0.1857202732
26	0.1828648508
27	0.1808331621
28	0.1793617437
29	0.1775845414
30	0.1765510869
31	0.1755755062
32	0.1747317283
33	0.1736198445
34	0.1724720777
35	0.1716865149
36	0.1711354912
37	0.1681789148
38	0.1674453809
39	0.1652165543
40	0.1637414573
41	0.1618965876
42	0.1614726919
43	0.1608566806
44	0.1606302998
45	0.1601211665
46	0.1591239492
47	0.1588978655
48	0.1584912565
49	0.1580186481
50	0.157726526
51	0.1574813525
52	0.1572096583
53	0.1569280282
54	0.1567545797
55	0.1564605537
56	0.1563479286
57	0.1557880928
58	0.154713893
59	0.15442241
60	0.1542535034
61	0.1539512227
62	0.1530067457
63	0.1528538586
64	0.1527422624
65	0.1526013492
66	0.152462089
67	0.1523196647
68	0.1520586134
69	0.1519218142
70	0.1518529819
71	0.1517773386
72	0.1516913513
73	0.1514945739
74	0.151200026
75	0.1510608438
76	0.1509235422
77	0.150838505
78	0.1507565749
79	0.1505565137
80	0.1504288854
81	0.1503140724
82	0.1499374987
83	0.1498553747
84	0.149816278
85	0.1497659136
86	0.1496390514
87	0.1495529021
88	0.1494782553
89	0.1493970948
90	0.14884886
91	0.1488103136
92	0.1487456345
93	0.1485722709
94	0.1484970123
95	0.1484525408
96	0.1483211276
97	0.1482713169
98	0.1481938241
99	0.1481730089
100	0.1480924402
101	0.1480523656
102	0.1476379634
103	0.1476107411
104	0.147560607
105	0.147509705
106	0.1474084635
107	0.1473102699
108	0.1472730882
109	0.1472078098
110	0.1471638652
111	0.147134125
112	0.146850903
113	0.1468180724
114	0.1467143255
115	0.1466860718
116	0.1466491425
117	0.1466048629
118	0.1463905243
119	0.1463442079
120	0.1462912014
121	0.1462650458
122	0.1462422502
123	0.1458616995
124	0.145770163
125	0.1456731012
126	0.1456503436
127	0.1455910719
128	0.1455350746
129	0.1454661165
130	0.1454178031
131	0.1453519036
132	0.1451089564
133	0.1450660913
134	0.1450373775
135	0.1450292867
136	0.1449890924
137	0.1449649208
138	0.1449277999
139	0.1449063844
140	0.1448976076
141	0.1448562635
142	0.144837377
143	0.1447947974
144	0.1447643212
145	0.1447073595
146	0.1446868223
147	0.1446788125
148	0.1446315713
149	0.1445981479
150	0.1445647089
151	0.1445219171
152	0.1444583877
153	0.14442532
154	0.1443728133
155	0.1443461304
156	0.144313285
157	0.1443024627
158	0.1442581668
159	0.1442036919
160	0.144188386
161	0.1441516897
162	0.144108951
163	0.1440776322
164	0.1440506801
165	0.1437829846
166	0.1437451984
167	0.1437232351
168	0.1436789103
169	0.1436790674
170	0.1436538457
171	0.1435624709
172	0.1435136278
173	0.1434465554
174	0.1434163005
175	0.1433867844
176	0.1433681175
177	0.1433521796
178	0.1431268535
179	0.1430928457
180	0.1430846052
181	0.1430519473
182	0.1430083513
183	0.1429803357
184	0.1429611979
185	0.1429129256
186	0.1428906433
187	0.1428652058
188	0.1428534065
189	0.1428280249
190	0.1428039894
191	0.1427726296
192	0.1427265537
193	0.1426843555
194	0.1426781852
195	0.1426434147
196	0.1426226133
197	0.1425940925
198	0.1425400249
199	0.1425317577
200	0.1424913691
201	0.1424555041
202	0.1423985654
203	0.1423790206
204	0.1423655281
205	0.1423541463
206	0.1423222552
207	0.142286627
208	0.1422608319
209	0.1422251463
210	0.1421844961
211	0.1421575925
212	0.1421398938
213	0.1421326159
214	0.1421068772
215	0.1420564257
216	0.1420232987
217	0.1420070024
218	0.1418888845
219	0.1418353903
220	0.1417911979
221	0.1417759142
222	0.1417531045
223	0.1417388207
224	0.1417096938
225	0.1416914031
226	0.1416546797
227	0.1416265671
228	0.1416026353
229	0.1415709569
230	0.1415565224
231	0.1414987238
232	0.1414642833
233	0.1414456611
234	0.1414268529
235	0.1414042775
236	0.1413791461
237	0.1413712613
238	0.1413469316
239	0.1413028314
240	0.141255057
241	0.1412443415
242	0.1412244272
243	0.1411934266
244	0.1411688684
245	0.1411285735
246	0.1410893471
247	0.1410458844
248	0.1410174794
249	0.1409916308
250	0.14095142
251	0.1409297382
252	0.1409062251
253	0.1408834048
254	0.1408460712
255	0.1408060987
256	0.1408003871
257	0.1407439436
258	0.1406243531
259	0.1405961094
260	0.140554958
261	0.1405280014
262	0.1405169606
263	0.1404931555
264	0.1404727059
265	0.1404532852
266	0.1404355267
267	0.140406193
268	0.1403726662
269	0.140352788
270	0.1403330704
271	0.1403019845
272	0.1402710475
273	0.1402271205
274	0.1401816275
275	0.1401536654
276	0.1401224021
277	0.1400741981
278	0.1400374217
279	0.1400173245
280	0.1400029016
281	0.139973906
282	0.1399464294
283	0.1399294297
284	0.1399176504
285	0.1399072355
286	0.1398744411
287	0.1398595592
288	0.1398308349
289	0.1398158127
290	0.1398034994
291	0.1397798338
292	0.1397687737
293	0.1397417713
