iter	Passed	Remaining
0	159	47799
1	172	25727
2	184	18294
3	197	14588
4	209	12338
5	220	10787
6	232	9722
7	242	8850
8	254	8214
9	266	7727
10	278	7316
11	290	6969
12	302	6673
13	313	6407
14	336	6397
15	349	6208
16	361	6016
17	374	5870
18	387	5734
19	400	5600
20	413	5488
21	425	5379
22	437	5268
23	449	5165
24	461	5071
25	475	5009
26	488	4943
27	500	4864
28	511	4779
29	524	4719
30	537	4661
31	549	4600
32	562	4551
33	575	4506
34	588	4455
35	600	4404
36	611	4348
37	624	4308
38	637	4263
39	650	4226
40	662	4182
41	674	4145
42	686	4103
43	698	4065
44	711	4033
45	725	4007
46	739	3982
47	752	3949
48	765	3918
49	778	3890
50	790	3861
51	803	3830
52	816	3803
53	829	3777
54	841	3746
55	853	3718
56	865	3687
57	878	3666
58	891	3641
59	906	3624
60	919	3602
61	932	3579
62	944	3554
63	957	3530
64	968	3503
65	981	3481
66	993	3456
67	1006	3434
68	1019	3412
69	1031	3389
70	1044	3368
71	1055	3343
72	1066	3317
73	1080	3300
74	1093	3280
75	1106	3260
76	1118	3239
77	1131	3220
78	1143	3199
79	1156	3181
80	1169	3162
81	1182	3143
82	1194	3123
83	1206	3101
84	1218	3081
85	1230	3061
86	1242	3042
87	1254	3021
88	1267	3005
89	1280	2988
90	1293	2970
91	1304	2949
92	1317	2932
93	1330	2916
94	1342	2896
95	1355	2881
96	1368	2864
97	1381	2848
98	1394	2831
99	1405	2811
100	1418	2794
101	1430	2777
102	1443	2760
103	1456	2745
104	1469	2729
105	1481	2711
106	1494	2696
107	1507	2680
108	1520	2665
109	1533	2648
110	1546	2632
111	1557	2614
112	1569	2596
113	1581	2580
114	1594	2565
115	1607	2549
116	1618	2531
117	1630	2515
118	1644	2500
119	1656	2484
120	1668	2468
121	1681	2452
122	1693	2437
123	1705	2421
124	1718	2406
125	1731	2391
126	1743	2375
127	1756	2359
128	1769	2345
129	1781	2329
130	1793	2313
131	1804	2297
132	1819	2284
133	1832	2270
134	1844	2254
135	1855	2237
136	1867	2222
137	1880	2206
138	1892	2191
139	1904	2176
140	1915	2160
141	1927	2144
142	1939	2129
143	1952	2115
144	1964	2099
145	1976	2085
146	1988	2069
147	2001	2055
148	2014	2041
149	2027	2027
150	2038	2011
151	2051	1997
152	2065	1984
153	2078	1970
154	2091	1956
155	2104	1942
156	2116	1927
157	2128	1912
158	2141	1898
159	2153	1884
160	2166	1870
161	2178	1855
162	2188	1839
163	2203	1827
164	2215	1812
165	2229	1799
166	2242	1785
167	2255	1771
168	2268	1758
169	2274	1739
170	2286	1724
171	2298	1710
172	2311	1696
173	2324	1682
174	2335	1668
175	2347	1653
176	2359	1639
177	2371	1625
178	2385	1612
179	2398	1599
180	2411	1585
181	2423	1571
182	2438	1559
183	2451	1545
184	2464	1532
185	2477	1518
186	2490	1504
187	2503	1491
188	2515	1477
189	2528	1463
190	2541	1450
191	2553	1436
192	2565	1422
193	2579	1409
194	2591	1395
195	2606	1382
196	2617	1368
197	2631	1355
198	2644	1342
199	2657	1328
200	2671	1315
201	2684	1302
202	2698	1289
203	2712	1276
204	2726	1263
205	2739	1250
206	2752	1236
207	2765	1223
208	2778	1209
209	2791	1196
210	2805	1183
211	2817	1169
212	2830	1155
213	2842	1142
214	2855	1129
215	2871	1116
216	2884	1103
217	2897	1089
218	2911	1076
219	2926	1064
220	2940	1051
221	2952	1037
222	2965	1024
223	2978	1010
224	2992	997
225	3005	983
226	3019	971
227	3032	957
228	3045	944
229	3057	930
230	3070	917
231	3083	903
232	3096	890
233	3109	876
234	3123	863
235	3136	850
236	3150	837
237	3164	824
238	3178	811
239	3194	798
240	3210	785
241	3224	772
242	3237	759
243	3252	746
244	3267	733
245	3283	720
246	3298	707
247	3313	694
248	3329	681
249	3343	668
250	3356	655
251	3371	642
252	3388	629
253	3403	616
254	3418	603
255	3442	591
256	3460	578
257	3487	567
258	3526	558
259	3545	545
260	3565	532
261	3578	518
262	3593	505
263	3607	491
264	3621	478
265	3634	464
266	3646	450
267	3658	436
268	3671	423
269	3683	409
270	3696	395
271	3710	381
272	3726	368
273	3750	355
274	3767	342
275	3781	328
276	3795	315
277	3814	301
278	3830	288
279	3846	274
280	3862	261
281	3877	247
282	3892	233
283	3908	220
284	3923	206
285	3938	192
286	3955	179
287	3969	165
288	3984	151
289	3999	137
290	4014	124
291	4028	110
292	4043	96
293	4058	82
